伯爵の釵	伯爵の釵
……竜と蛞蝓ほど違いましても、生あるうちは私じゃとて、芸人の端くれ。	……竜と蛞蝓ほど違ひましても、生あるうちは私ぢやとて、芸人の端くれ。
太夫様の御光明に照らされますだけでも、この疚痛は忘られましょう。」	太夫様の御光明に照らされますだけでも、此の疚痛は忘られませう。」
と、はッはッと息を吐く。	と、はツはツと息を吐く。
既に、何人であるかを知られて、土に手をついて太夫様と言われたのでは、そのいわゆる禁厭の断り悪さは、金銭の無心をされたのと同じ事――但し手から手へ渡すも恐れる……落して釵を貸そうとすると、「ああ、いや、太夫様、お手ずから。	既に、何人であるかを知られて、土に手をついて太夫様と言はれたのでは、其の所謂禁厭の断り悪さは、金銭の無心をされたのと同じ事――但し手から手へ渡すも恐れる……落して釵を貸さうとすると、「あゝ、いや、太夫様、お手づから。
……貴女様の膚の移香、脈の響をお釵から伝え受けたいのでござります。	……貴女様の膚の移香、脈の響をお釵から伝へ受けたいのでござります。
貴方様の御血脈、それが禁厭になりますので、お手に釵の鳥をばお持ち遊ばされて、はい、はい、はい。」	貴方様の御血脈、其が禁厭に成りますので、お手に釵の鳥をばお持ち遊ばされて、はい、はい、はい。」
あん、と口を開いた中へ、紫玉は止む事を得ず、手に持添えつつ、釵の脚を挿入れた。	あん、と口を開いた中へ、紫玉は止む事を得ず、手に持添へつつ、釵の脚を挿入れた。
喘ぐわ、舐るわ！	喘ぐわ、舐るわ！
鼻息がむッと掛る。	鼻息がむツと掛る。
堪らず袖を巻いて唇を蔽いながら、勢い釵とともに、やや白やかな手の伸びるのが、雪白なる鵞鳥の七宝の瓔珞を掛けた風情なのを、無性髯で、チュッパと啜込むように、坊主は犬蹲になって、頤でうけて、どろりと嘗め込む。	堪らず袖を巻いて唇を蔽ひながら、勢ひ釵とともに、やゝ白やかな手の伸びるのが、雪白なる鵞鳥の七宝の瓔珞を掛けた風情なのを、無性髯で、チユツパと啜込むやうに、坊主は犬蹲に成つて、頤でうけて、どろりと嘗め込む。
と、紫玉の手には、ずぶずぶと響いて、腐れた瓜を突刺す気味合。	唯、紫玉の手には、づぶ／＼と響いて、腐れた瓜を突刺す気味合。
指環は緑紅の結晶したる玉のごとき虹である。	指環は緑紅の結晶したる玉の如き虹である。
眩しかったろう。	眩しかつたらう。
坊主は開いた目も閉じて、懵とした顔色で、しっきりもなしに、だらだらと涎を垂らす。	坊主は開いた目も閉ぢて、［＃「りっしんべん＋夢」の「夕」に代えて「目」、懵とした顔色で、しつきりもなしに、だら／＼と涎を垂らす。
「ああ、手がだるい、まだ？」	「あゝ、手がだるい、まだ？」
「いま一息。」	「いま一息。」
――	――
不思議な光景は、美しき女が、針の尖で怪しき魔を操る、舞台における、神秘なる場面にも見えた。	不思議な光景は、美しき女が、針の尖で怪しき魔を操る、舞台に於ける、神秘なる場面にも見えた。
茶店の娘とその父は、感に堪えた観客のごとく、呼吸を殺して固唾を飲んだ。	茶店の娘と其の父は、感に堪へた観客の如く、呼吸を殺して固唾を飲んだ。
……「ああ、お有難や、お有難い。	……「あゝ、お有難や、お有難い。
トンと苦悩を忘れました。	トンと苦悩を忘れました。
お有難い。」	お有難い。」
と三味線包、がっくりと抜衣紋。	と三味線包、がつくりと抜衣紋。
で、両掌を仰向け、低く紫玉の雪の爪先を頂く真似して、「かように穢いものなれば、くどくどお礼など申して、お身近はかえってお目触り、御恩は忘れぬぞや。」	で、両掌を仰向け、低く紫玉の雪の爪尖を頂く真似して、「恁やうに穢いものなれば、くど／＼お礼など申して、お身近は却つてお目触り、御恩は忘れぬぞや。」
と胸を捻じるように杖で立って、	と胸を捻ぢるやうに杖で立つて、
「お有難や、有難や。	「お有難や、お有難や。
ああ、苦を忘れて腑が抜けた。	あゝ、苦を忘れて腑が抜けた。
もし、太夫様。」	もし、太夫様。」
と敷居を跨いで、蹌踉状に振向いて、「あの、そのお釵に……」――「え。」	と敷居を跨いで、蹌踉状に振向いて、「あの、其のお釵に……」――「え。」
と紫玉が鸚鵡を視る時、「歯くさが着いてはおりませぬか。	と紫玉が鸚鵡を視る時、「歯くさが着いては居りませぬか。
恐縮や。	恐縮や。
……えひひ。」	……えひゝ。」
とニヤリとして、	とニヤリとして、
「ちゃっとお拭きなされませい。」	「ちやつとお拭きなされませい。」
これがために、紫玉は手を掛けた懐紙を、余儀なくちょっと逡巡った。	此がために、紫玉は手を掛けた懐紙を、余儀なく一寸逡巡つた。
同時に、あらぬ方に蒼と面を背けた。	同時に、あらぬ方に蒼と面を背けた。
紫玉は待兼ねたように懐紙を重ねて、伯爵、を清めながら、森の径へ行きましたか、坊主は、と訊いた。	紫玉は待兼ねたやうに懐紙を重ねて、伯爵、を清めながら、森の径へ行きましたか、坊主は、と訊いた。
父も娘も、へい、と言って、大方そうだろうと言う。	父も娘も、へい、と言つて、大方｜然うだらうと言ふ。
――もう影もなかったのである。	――最う影もなかつたのである。
父娘はただ、紫玉の挙動にのみ気を奪られていたろう。	父娘は唯、紫玉の挙動にのみ気を奪られて居たらう。
……この辺を歩行く門附みたいなもの、とまた訊けば、父親がついぞ見掛けた事はない。	……此の辺を歩行く門附見たいなもの、と又訊けば、父親がつひぞ見掛けた事はない。
娘が跣足でいました、と言ったので、旅から紛込んだものか、それも分らぬ。	娘が跣足で居ました、と言つたので、旅から紛込んだものか、其も分らぬ。
と、言ううちにも、紫玉はちょいちょい眉を顰めた。	と、言ふうちにも、紫玉は一寸々々眉を顰めた。
抜いて持った釵、鬢摺れに髪に返そうとすると、や、するごとに、手の撓うにさえ、得も言われない、異な、変な、悪臭い、堪らない、臭気がしたのであるから。	抜いて持つた釵、鬢摺れに髪に返さうとすると、呀、する毎に、手の撓ふにさへ、得も言はれない、異な、変な、悪臭い、堪らない、臭気がしたのであるから。
城は公園を出る方で、そこにも影がないとすると、吹矢の道を上ったに相違ない。	城は公園を出る方で、其処にも影がないとすると、吹矢の道を上つたに相違ない。
で、後へ続くには堪えられぬ。	で、後へ続くには堪へられぬ。
そこで滝の道を訊いて――ここへ来た。	其処で滝の道を訊いて――此処へ来た。
――	――
泉殿に擬えた、飛々の亭のいずれかに、邯鄲の石の手水鉢、名品、と教えられたが、水の音より蝉の声。	泉殿に擬へた、飛々の亭の孰れかに、邯鄲の石の手水鉢、名品、と教へられたが、水の音より蝉の声。
で、勝手に通抜けの出来る茶屋は、昼寝の半ばらしい。	で、勝手に通抜けの出来る茶屋は、昼寝の半ばらしい。
どの座敷も寂寞して人気勢もなかった。	何の座敷も寂寞して人気勢もなかつた。
御歯黒蜻蛉が、鉄漿つけた女房の、微な夢の影らしく、ひらひらと一つ、葉ばかりの燕子花を伝って飛ぶのが、このあたりの御殿女中の逍遥した昔の幻を、寂しく描いて、都を出た日、遠く来た旅を思わせる。	御歯黒蜻蛉が、鉄漿つけた女房の、微な夢の影らしく、ひら／＼と一つ、葉ばかりの燕子花を伝つて飛ぶのが、此のあたり御殿女中の逍遙した昔の幻を、寂しく描いて、都を出た日、遠く来た旅を思はせる。
すべて旧藩侯の庭園だ、と言うにつけても、贈主なる貴公子の面影さえ浮ぶ、伯爵の鸚鵡を何としょう。	すべて旧藩侯の庭園だ、と言ふにつけても、贈主なる貴公子の面影さへ浮ぶ、伯爵の鸚鵡を何とせう。
霊廟の土の瘧を落し、秘符の威徳の鬼を追うよう、たちどころに坊主の虫歯を癒したはさることながら、路々も悪臭さの消えないばかりか、口中の臭気は、次第に持つ手を伝って、袖にも移りそうに思われる。	霊廟の土の瘧を落し、秘符の威徳の鬼を追ふやう、立処に坊主の虫歯を癒したは然ることながら、路々も悪臭さの消えないばかりか、口中の臭気は、次第に持つ手を伝つて、袖にも移りさうに思はれる。
紫玉は、樹の下に涼傘を畳んで、滝を斜めに視つつ、池の縁に低くいた。	紫玉は、樹の下に涼傘を畳んで、滝を斜めに視つゝ、池の縁に低く居た。
滝は、旱にしかく骨なりといえども、巌には苔蒸し、壺は森を被いで蒼い。	滝は、旱に爾く骨なりと雖も、巌には苔蒸し、壺は森を被いで蒼い。
しかも巌がくれの裏に、どうどうと落ちたぎる水の音の凄じく響くのは、大樋を伏せて二重に城の用水を引いた、敵に対する要害で、地下を城の内濠に灌ぐと聞く、戦国の余残だそうである。	然も巌がくれの裏に、どうどうと落ちたぎる水の音の凄じく響くのは、大樋を伏せて二重に城の用水を引いた、敵に対する要害で、地下を城の内濠に灌ぐと聞く、戦国の余残ださうである。
紫玉は釵を洗った。	紫玉は釵を洗つた。
……艶なる女優の心を得た池の面は、萌黄の薄絹のごとく波を伸べつつ拭って、清めるばかりに見えたのに、取って黒髪に挿そうとすると、ちっと離したくらいでは、耳の辺へも寄せられぬ。	……艶なる女優の心を得た池の面は、萌黄の薄絹の如く波を伸べつゝ拭つて、清めるばかりに見えたのに、取つて黒髪に挿さうとすると、些と離したくらゐでは、耳の辺へも寄せられぬ。
鼻を衝いて、ツンと臭い。	鼻を衝いて、ツンと臭い。
「あ、」と声を立てたほどである。	「あ、」と声を立てたほどである。
雫を切ると、雫まで芬と臭う。	雫を切ると、雫まで芬と臭ふ。
たとえば貴重なる香水の薫の一滴の散るように、洗えば洗うほど流せば流すほど香が広がる。	たとへば貴重なる香水の薫の一滴の散るやうに、洗へば洗ふほど流せば流すほど香が広がる。
……二三度、四五度、繰返すうちに、指にも、手にも、果は指環の緑碧紅黄の珠玉の数にも、言いようのない悪臭が蒸れ掛るように思われたので。	……二三度、四五度、繰返すうちに、指にも、手にも、果は指環の緑碧紅黄の珠玉の数にも、言ひやうのない悪臭が蒸れ掛るやうに思はれたので。
「ええ。」	「えゝ。」
紫玉はスッと立って、手のはずみで一｜振振った。	紫玉はスツと立つて、手のはずみで一振振つた。
「ぬしにおなりよ。」	「ぬしにお成りよ。」
白金の羽の散る状に、ちらちらと映ると、釵は滝壺に真蒼な水に沈んで行く。	白金の羽の散る状に、ちら／＼と映ると、釵は滝壺に真蒼な水に沈んで行く。
……あわれ、呪われたる仙禽よ。	……あはれ、呪はれたる仙禽よ。
卿は熱帯の鬱林に放たれずして、山地の碧潭に謫されたのである。	卿は熱帯の鬱林に放たれずして、山地の碧潭に謫されたのである。
……トこの奇異なる珍客を迎うるか、不可思議の獲ものに競うか、静なる池の面に、眠れる魚のごとく縦横に横わった、樹の枝々の影は、尾鰭を跳ねて、幾千ともなく、一時に皆揺動いた。	……ト此の奇異なる珍客を迎ふるか、不可思議の獲ものに競ふか、静なる池の面に、眠れる魚の如く縦横に横はつた、樹の枝々の影は、尾鰭を跳ねて、幾千ともなく、一時に皆｜揺動いた。
これに悚然とした状に、一度すぼめた袖を、はらはらと翼のごとく搏いたのは、紫玉が、可厭しき移香を払うとともに、高貴なる鸚鵡を思い切った、安からぬ胸の波動で、なお且つ飜々とふるいながら、衝と飛退くように、滝の下行く桟道の橋に退いた。	此に悚然とした状に、一度すぼめた袖を、はら／＼と翼の如く搏いたのは、紫玉が、可厭しき移香を払ふとともに、高貴なる鸚鵡を思ひ切つた、安からぬ胸の波動で、尚ほ且つ飜々とふるひながら、衝と飛退くやうに、滝の下行く桟道の橋に退いた。
石の反橋である。	石の反橋である。
巌と石の、いずれにも累れる牡丹の花のごときを、左右に築き上げた、銘を石橋と言う、反橋の石の真中に立って、吻と一息した紫玉は、この時、すらりと、脊も心も高かった。	巌と石の、いづれにも累れる牡丹の花の如きを、左右に築き上げた、銘を石橋と言ふ、反橋の石の真中に立つて、吻と一息した紫玉は、此の時、すらりと、脊も心も高かつた。
明眸の左右に樹立が分れて、一条の大道、炎天の下に展けつつ、日盛の町の大路が望まれて、煉瓦造の避雷針、古い白壁、寺の塔など睫を擽る中に、行交う人は点々と蝙蝠のごとく、電車は光りながら山椒魚の這うのに似ている。	明眸の左右に樹立が分れて、一条の大道、炎天の下に展けつゝ、日盛の町の大路が望まれて、煉瓦造の避雷針、古い白壁、寺の塔など睫を擽る中に、行交ふ人は点々と蝙蝠の如く、電車は光りながら山椒魚の這ふのに似て居る。
忘れもしない、限界のその突当りが、昨夜まで、我あればこそ、電燭のさながら水晶宮のごとく輝いた劇場であった。	忘れもしない、眼界の其の突当りが、昨夜まで、我あればこそ、電燭の宛然水晶宮の如く輝いた劇場であつた。
ああ、一翳の雲もないのに、緑紫｜紅の旗の影が、ぱっと空を蔽うまで、花やかに目に飜った、と見ると颯と近づいて、眉に近い樹々の枝に色鳥の種々の影に映った。	あゝ、一翳の雲もないのに、緑紫紅の旗の影が、ぱつと空を蔽ふまで、花やかに目に飜つた、唯見ると颯と近づいて、眉に近い樹々の枝に色鳥の種々の影に映つた。
蓋し劇場に向って、高く翳した手の指環の、玉の矜の幻影である。	蓋し劇場に向つて、高く翳した手の指環の、玉の矜の幻影である。
紫玉は、瞳を返して、華奢な指を、俯向いて視つつ莞爾した。	紫玉は、瞳を返して、華奢な指を、俯向いて視つゝ莞爾した。
そして、すらすらと石橋を前方へ渡った。	そして、すら／＼と石橋を前方へ渡つた。
それから、森を通る、姿は翠に青ずむまで、静に落着いて見えたけれど、二ツ三ツ重った不意の出来事に、心の騒いだのは争われない。	それから、森を通る、姿は翠に青ずむまで、静に落着いて見えたけれど、二ツ三ツ重つた不意の出来事に、心の騒いだのは争はれない。
……涼傘を置忘れたもの。	……涼傘を置忘れたもの。
森を高く抜けると、三国｜見霽しの一面の広場になる。	森を高く抜けると、三国見霽しの一面の広場に成る。
赫と射る日に、手廂してこう視むれば、松、桜、梅いろいろ樹の状、枝の振の、各自名ある神仙の形を映すのみ。	赫と射る日に、手廂して恁う視むれば、松、桜、梅いろ／＼樹の状、枝の振の、各自名ある神仙の形を映すのみ。
幸いに可忌い坊主の影は、公園の一｜木一草をも妨げず。	幸ひに可忌い坊主の影は、公園の一｜木一｜草をも妨げず。
また……人の往来うさえほとんどない。	又……人の往来ふさへ殆どない。
一処、大池があって、朱塗の船の、漣に、浮いた汀に、盛装した妙齢の派手な女が、番の鴛鴦の宿るように目に留った。	一処、大池があつて、朱塗の船の、漣に、浮いた汀に、盛装した妙齢の派手な女が、番の鴛鴦の宿るやうに目に留つた。
真白な顔が、揃ってこっちを向いたと思うと。	真白な顔が、揃つて此方を向いたと思ふと。
「あら、お嬢様。」	「あら、お嬢様。」
「お師匠さーん。」	「お師匠さーん。」
一人がもう、空気草履の、媚かしい褄捌きで駆けて来る。	一人が最う、空気草履の、媚かしい褄捌きで駆けて来る、
目鼻は玉江。	目鼻は玉江。
……もう一人は玉野であった。	……最う一人は玉野であつた。
紫玉は故郷へ帰った気がした。	紫玉は故郷へ帰つた気がした。
「不思議な処で、と言いたいわね。	「不思議な処で、と言ひたいわね。
見ぶつかい。」	見ぶつかい。」
「ええ、観光団。」	「えゝ、観光団。」
「何を悪戯をしているの、お前さんたち。」	「何を悪戯をして居るの、お前さんたち。」
と連立って寄る、汀に居た玉野の手には、船首へ掛けつつ棹があった。	と連立つて寄る、汀に居た玉野の手には、船首へ掛けつゝ棹があつた。
舷は藍、萌黄の翼で、頭にも尾にも紅を塗った、鷁首の船の屋形造。	舷は藍、萌黄の翼で、頭にも尾にも紅を塗つた、鷁首の船の屋形造。
玩具のようだが四五人は乗れるであろう。	玩具のやうだが四五人は乗れるであらう。
「お嬢様。	「お嬢様。
おめしなさいませんか。」	おめしなさいませんか。」
聞けば、向う岸の、むら萩に庵の見える、船主の料理屋にはもう交渉済で、二人は慰みに、これから漕出そうとする処だった。	聞けば、向う岸の、むら萩に庵の見える、船主の料理屋には最う交渉済で、二人は慰みに、此から漕出さうとする処だつた。
……お前さんに漕げるかい、と覚束なさに念を押すと、浅くて棹が届くのだから仔細ない。	……お前さんに漕げるかい、と覚束なさに念を押すと、浅くて棹が届くのだから仔細ない。
ただ、一ケ所底の知れない深水の穴がある。	但、一ヶ所｜底の知れない深水の穴がある。
竜の口と称えて、ここから下の滝の伏樋に通ずるよし言伝える、……危くはないけれど、そこだけは除けたが可かろう、と、……こんな事には気軽な玉江が、つい駆出して仕誼を言いに行ったのに、料理屋の女中が、わざわざ出て来て注意をした。	竜の口と称へて、此処から下の滝の伏樋に通ずるよし言伝へる、……危くはないけれど、其処だけは除けたが可からう、と、……こんな事には気軽な玉江が、つい駆出して仕誼を言ひに行つたのに、料理屋の女中が、わざわざ出て来て注意をした。
「あれ、あすこですわ。」	「あれ、彼処ですわ。」
と玉野が指す、大池を艮の方へ寄る処に、板を浮かせて、小さな御幣が立っていた。	と玉野が指す、大池を艮の方へ寄る処に、板を浮かせて、小さな御幣が立つて居た。
真中の築洲に鶴ケ島というのが見えて、祠に竜神を祠ると聞く。	真中の築洲に鶴ヶ｜島と言ふのが見えて、祠に竜神を祠ると聞く。
……鷁首の船は、その島へ志すのであるから、滝の口は近寄らないで済むのであったが。	……鷁首の船は、其の島へ志すのであるから、竜の口は近寄らないで済むのであつたが。
「乗ろうかね。」	「乗らうかね。」
と紫玉はもう褄を巻くように、爪尖を揃えながら、	と紫玉は最う褄を巻くやうに、爪尖を揃へながら、
「でも何だか。」	「でも何だか。」
「あら、なぜですえ。」	「あら、何故ですえ。」
「御幣まで立って警戒をした処があっちゃあ、遠くを離れて漕ぐにしても、船頭が船頭だから気味が悪いもの。」	「御幣まで立つて警戒をした処があつちやあ、遠くを離れて漕ぐにしても、船頭が船頭だから気味が悪いもの。」
「いいえ、あの御幣は、そんなおどかしじゃありませんの。	「否、あの御幣は、そんなおどかしぢやありませんの。
不断は何にもないんだそうですけれど、二三日前、誰だか雨乞だと言って立てたんだそうですの、この旱ですから。」	不断は何にもないんださうですけれど、二三日前、誰だか雨乞だと言つて立てたんださうですの、此の旱ですから。」
岸をトンと盪すと、屋形船は軽く出た。	岸をトンと盪すと、屋形船は軽く出た。
おや、房州で生れたかと思うほど、玉野は思ったより巧に棹をさす。	おや、房州で生れたかと思ふほど、玉野は思つたより巧に棹さす。
大池は静である。	大池は静である。
舷の朱欄干に、指を組んで、頬杖ついた、紫玉の胡粉のような肱の下に、萌黄に藍を交えた鳥の翼の揺るるのが、そこにばかり美しい波の立つ風情に見えつつ、船はするすると滑って、鶴ケ島をさして滑かに浮いて行く。	舷の朱欄干に、指を組んで、頬杖ついた、紫玉の胡粉のやうな肱の下に、萌黄に藍を交へた鳥の翼の揺るゝのが、其処にばかり美しい波の立つ風情に見えつゝ、船はする／＼と滑つて、鶴ヶ島をさして滑かに浮いて行く。
さまでの距離はないが、月夜には柳が煙るぐらいな間で、島へは棹の数百ばかりはあろう。	然までの距離はないが、月夜には柳が煙るぐらゐな間で、島へは棹の数百ばかりはあらう。
玉野は上手を遣る。	玉野は上手を遣る。
さす手が五十ばかり進むと、油を敷いたとろりとした静な水も、棹に掻かれてどこともなしに波紋が起った、そのせいであろう。	さす手が五十ばかり進むと、油を敷いたとろりとした静な水も、棹に掻かれて何処ともなしに波紋が起つた、其の所為であらう。
あの底知らずの竜の口とか、日射もそこばかりはものの朦朧として淀むあたりに、――微との風もない折から、根なしに浮いた板ながら真直に立っていた白い御幣が、スースーと少しずつ位置を転えて、夢のように一寸二寸ずつ動きはじめた。	あの底知らずの竜の口とか、日射も其処ばかりはものの朦朧として淀むあたりに、――微との風もない折から、根なしに浮いた板ながら真直に立つて居た白い御幣が、スースーと少しづゝ位置を転へて、夢のやうに一｜寸二寸づゝ動きはじめた。
凝と、……視るに連れて、次第に、緩く、柔かに、落着いて弧を描きつつ、その円い線の合する処で、またスースーと、一寸二寸ずつ動出すのが、何となく池を広く大きく押拡げて、船は遠く、御幣ははるかに、不思議に、段々｜汀を隔るのが心細いようで、気も浮かりと、紫玉は、便少ない心持がした。	凝と、……視るに連れて、次第に、緩く、柔かに、落着いて弧を描きつゝ、其の円い線の合する処で、又スースーと、一寸二寸づゝ動出すのが、何となく池を広く大きく押拡げて、船は遠く、御幣は遙に、不思議に、段々｜汀を隔るのが心細いやうで、気も浮かりと、紫玉は、便少ない心持がした。
「大丈夫かい、あすこは渦を巻いているようだがね。」	「大丈夫かい、彼処は渦を巻いて居るやうだがね。」
欄干に頬杖したまま、紫玉は御幣を凝視めながら言った。	欄干に頬杖したまゝ、紫玉は御幣を凝視めながら言つた。
「詰りませんわ、少し渦でも巻かなけりゃ、余り静で、橋の上を這っているようですもの、」	「詰りませんわ、少し渦でも巻かなけりや、余り静で、橋の上を這つてゐるやうですもの、」
とお転婆の玉江が洒落でもないらしく、	とお転婆の玉江が洒落でもないらしく、
「玉野さん、船をあっちへ遣ってみないか？	「玉野さん、船を彼方へ遣つて見ないか？
紫玉が圧えて、	紫玉が圧へて、
「不可いよ。」	「不可いよ。」
「いいえ、何ともありゃしませんわ。	「否、何ともありやしませんわ。
それだし、もしか、船に故障があったら、おーいと呼ぶか、手を敲けば、すぐに誰か出て来るからって、女中がそう言っていたんですから。」	それだし、もしか、船に故障があつたら、おーいと呼ぶか、手を敲けば、すぐに誰か出て来るからつて、女中が然う言つて居たんですから。」
とまた玉江が言う。	とまた玉江が言ふ。
成程、島を越した向う岸の萩の根に、一人乗るほどの小船が見える。	成程、島を越した向う岸の萩の根に、一人乗るほどの小船が見える。
中洲の島で、納涼ながら酒宴をする時、母屋から料理を運ぶ通船である。	中洲の島で、納涼ながら酒宴をする時、母屋から料理を運ぶ通船である。
玉野さえ興に乗ったらしく、	玉野さへ興に乗つたらしく、
「お嬢様、船を少し廻しますわ。」	「お嬢様、船を少し廻しますわ。」
「だって、こんな池で助船でも呼んでみたが可い、飛んだお笑い草で末代までの恥辱じゃあないか、あれお止しよ。」	「だつて、こんな池で助船でも呼んで覧たが可い、飛んだお笑ひ草で末代までの恥辱ぢやあないか。あれお止しよ。」
と言うのに、――逆について船がぐいと廻りかけると、ざぶりと波が立った。	と言ふのに、――逆について船がくいと廻りかけると、ざぶりと波が立つた。
その響きかも知れぬ。	其の響きかも知れぬ。
小さな御幣の、廻りながら、遠くへ離れて、小さな浮木ほどになっていたのが、ツウと浮いて、板ぐるみ、グイと傾いて、水の面にぴたりとついたと思うと、罔竜の頭、絵ける鬼火のごとき一条の脈が、竜の口からむくりと湧いて、水を一文字に、射て疾く、船に近づくと斉しく、波はざッと鳴った。	小さな御幣の、廻りながら、遠くへ離れて、小さな浮木ほどに成つて居たのが、ツウと浮いて、板ぐるみ、グイと傾いて、水の面にぴたりとついたと思ふと、罔竜の頭、絵ける鬼火の如き一条の脈が、竜の口からむくりと湧いて、水を一文字に、射て疾く、船に近づくと斉しく、波はざツと鳴つた。
女優の船頭は棹を落した。	女優の船頭は棹を落した。
あれあれ、その波頭がたちまち船底を噛むかとすれば、傾く船に三人が声を殺した。	あれ／＼、其の波頭が忽ち船底を噛むかとすれば、傾く船に三人が声を殺した。
途端に二三尺あとへ引いて、薄波を一｜煽り、その形に煽るや否や、人の立つごとく、空へ大なる魚が飛んだ。	途端に二三｜尺あとへ引いて、薄波を一煽り、其の形に煽るや否や、人の立つ如く、空へ大なる魚が飛んだ。
瞬間、島の青柳に銀の影が、パッと映して、魚は紫立ったる鱗を、冴えた金色に輝やかしつつ颯と刎ねたのが、飜然と宙を躍って、船の中へどうと落ちた。	瞬間、島の青柳に銀の影が、パツと映して、魚は紫立つたる鱗を、冴えた金色に輝かしつゝ颯と刎ねたのが、飜然と宙を躍つて、船の中へ堂と落ちた。
その時、水がドブンと鳴った。	其時、水がドブンと鳴つた。
舳と艫へ、二人はアッと飛退いた。	舳と艫へ、二人はアツと飛退いた。
紫玉は欄干に縋って身を転わす。	紫玉は欄干に縋つて身を転はす。
落ちつつ胴の間で、一刎、刎ねると、そのはずみに、船も動いた。	落ちつゝ胴の間で、一刎、刎ねると、其のはずみに、船も動いた。
――見事な魚である。	――見事な魚である。
「お嬢様！」	「お嬢様！」
「鯉、鯉、あら、鯉だ。」	「鯉、鯉、あら、鯉だ。」
と玉江が夢中で手を敲いた。	と玉江が夢中で手を敲いた。
この大なる鯉が、尾鰭を曳いた、波の引返すのが棄てた棹を攫った。	此の大なる鯉が、尾鰭を曳いた、波の引返すのが棄てた棹を攫つた。
棹はひとりでに底知れずの方へツラツラと流れて行く。	棹はひとりでに底知れずの方へツラ／＼と流れて行く。
「……太夫様……太夫様。」	「……太夫様……太夫様。」
偶と紫玉は、宵闇の森の下道で真暗な大樹巨木の梢を仰いだ。	偶と紫玉は、宵闇の森の下道で真暗な大樹巨木の梢を仰いだ。
……思い掛けず空から呼掛けたように聞えたのである。	……思ひ掛けず空から呼掛けたやうに聞えたのである。
「ちょっと燈を、……」	「一寸燈を、……」
玉野がぶら下げた料理屋の提灯を留めさせて、さし交す枝を透かしつつ、――何事と問う玉江に、	玉野がぶら下げた料理屋の提灯を留めさせて、さし交す枝を透かしつゝ、――何事と問ふ玉江に、
「誰だか呼んだように思うんだがねえ。」	「誰だか呼んだやうに思ふんだがねえ。」
と言う……お師匠さんが、樹の上を視ているから、	と言ふ……お師匠さんが、樹の上を視て居るから、
「まあ、そんな処から。」	「まあ、そんな処から。」
「そうだねえ。」	「然うだねえ。」
紫玉は、はじめて納得したらしく、瞳をそらす時、髷に手を遣って、釵に指を触れた。	紫玉は、はじめて納得したらしく、瞳をそらす時、髷に手を遣つて、釵に指を触れた。
――指を触れた釵は鸚鵡である。	――指を触れた釵は鸚鵡である。
「これが呼んだのかしら。」	「此が呼んだのか知ら。」
と微酔の目元を花やかに莞爾すると、	と微酔の目元を花やかに莞爾すると、
「あら、お嬢様。」	「あら、お嬢様。」
「可厭ですよ。」	「可厭ですよ。」
と仰山に二人が怯えた。	と仰山に二人が怯えた。
女弟子の驚いたのなぞは構わないが、読者を怯しては不可い。	女弟子の驚いたのなぞは構はないが、読者を怯しては不可い。
滝壷へ投沈めた同じ白金の釵が、その日のうちに再び紫玉の黒髪に戻った仔細を言おう。	滝壺へ投沈めた同じ白金の釵が、其の日のうちに再び紫玉の黒髪に戻つた仔細を言はう。
池で、船の中へ鯉が飛込むと、弟子たちが手を拍つ、立騒ぐ声が響いて、最初は女中が小船で来た。	池で、船の中へ鯉が飛込むと、弟子たちが手を拍つ、立騒ぐ声が響いて、最初は女中が小船で来た。
……島へ渡した細綱を手繰って、立ちながら操るのだが、馴れたもので、あとを二押三押、屋形船が来ると、由を聞き、魚を視て、「まあ、」と目を睜ったきり、慌しく引返した。	……島へ渡した細綱を手繰つて、立ちながら操るのだが、馴れたもので、あとを二押三押、屋形船へ来ると、由を聞き、魚を視て、「まあ、」と目を睜つた切、慌しく引返した。
が、間もあらせず、今度は印半纏を被た若いものに船を操らせて、亭主らしい年配な法体したのが漕ぎつけて、「これはこれは太夫様。」	が、間もあらせず、今度は印半纏を被た若いものに船を操らせて、亭主らしい年配な法体したのが漕ぎつけて、「これは／＼太夫様。」
亭主も逸早くそれを知っていて、恭しく挨拶をした。	亭主も逸時く其を知つて居て、恭しく挨拶をした。
浴衣の上だけれど、紋の着いた薄羽織を引かけていたが、さて、「改めて御祝儀を申述べます。	浴衣の上だけれど、紋の着いた薄羽織を引かけて居たが、扨て、「改めて御祝儀を申述べます。
目の下二尺三貫目は掛りましょう。」	目の下二｜尺三｜貫目は掛りませう。」
とて、……及び腰に覗いて魂消ている若衆に目配せで頷せて、「かような大魚、しかも出世魚と申す鯉魚の、お船へ飛込みましたというは、類稀な不思議な祥瑞。	とて、……及び腰に覗いて魂消て居る若衆に目配せで頷せて、「恁やうな大魚、然も出世魚と申す鯉魚の、お船へ飛込みましたと言ふは、類希な不思議な祥瑞。
おめでとう存じまする、皆、太夫様の御人徳。	おめでたう存じまする、皆、太夫様の御人徳。
続きましては、手前預りまする池なり、所持の屋形船。	続きましては、手前｜預りまする池なり、所持の屋形船。
